Report Date,Age Group,Fatality Count,Percent
06/30/2023,0 to 9,47,0.1
06/30/2023,10 to 19,40,0.1
06/30/2023,20 to 29,266,0.4
06/30/2023,30 to 39,815,1.3
06/30/2023,40 to 49,1895,3
06/30/2023,50 to 59,5220,8.3
06/30/2023,60 to 69,11019,17.6
06/30/2023,70 to 79,16086,25.7
06/30/2023,80 to 89,17011,27.1
06/30/2023,90 and Over,10309,16.4
06/30/2023,Unknown,9,0
06/30/2023,Statewide Total,62717,100
06/29/2023,0 to 9,47,0.1
06/29/2023,10 to 19,40,0.1
06/29/2023,20 to 29,266,0.4
06/29/2023,30 to 39,815,1.3
06/29/2023,40 to 49,1895,3
06/29/2023,50 to 59,5220,8.3
06/29/2023,60 to 69,11019,17.6
06/29/2023,70 to 79,16086,25.7
06/29/2023,80 to 89,17011,27.1
06/29/2023,90 and Over,10309,16.4
06/29/2023,Unknown,9,0
06/29/2023,Statewide Total,62717,100
06/28/2023,0 to 9,47,0.1
06/28/2023,10 to 19,40,0.1
06/28/2023,20 to 29,266,0.4
06/28/2023,30 to 39,815,1.3
06/28/2023,40 to 49,1895,3
06/28/2023,50 to 59,5220,8.3
06/28/2023,60 to 69,11019,17.6
06/28/2023,70 to 79,16086,25.7
06/28/2023,80 to 89,17011,27.1
06/28/2023,90 and Over,10309,16.4
06/28/2023,Unknown,9,0
06/28/2023,Statewide Total,62717,100
06/27/2023,0 to 9,47,0.1
06/27/2023,10 to 19,40,0.1
06/27/2023,20 to 29,266,0.4
06/27/2023,30 to 39,815,1.3
06/27/2023,40 to 49,1895,3
06/27/2023,50 to 59,5220,8.3
06/27/2023,60 to 69,11019,17.6
06/27/2023,70 to 79,16085,25.7
06/27/2023,80 to 89,17010,27.1
06/27/2023,90 and Over,10307,16.4
06/27/2023,Unknown,9,0
06/27/2023,Statewide Total,62713,100
06/26/2023,0 to 9,47,0.1
06/26/2023,10 to 19,40,0.1
06/26/2023,20 to 29,266,0.4
06/26/2023,30 to 39,815,1.3
06/26/2023,40 to 49,1895,3
06/26/2023,50 to 59,5220,8.3
06/26/2023,60 to 69,11019,17.6
06/26/2023,70 to 79,16085,25.7
06/26/2023,80 to 89,17008,27.1
06/26/2023,90 and Over,10307,16.4
06/26/2023,Unknown,9,0
06/26/2023,Statewide Total,62711,100
06/23/2023,0 to 9,47,0.1
06/23/2023,10 to 19,40,0.1
06/23/2023,20 to 29,266,0.4
06/23/2023,30 to 39,815,1.3
06/23/2023,40 to 49,1895,3
06/23/2023,50 to 59,5219,8.3
06/23/2023,60 to 69,11018,17.6
06/23/2023,70 to 79,16083,25.7
06/23/2023,80 to 89,17005,27.1
06/23/2023,90 and Over,10306,16.4
06/23/2023,Unknown,9,0
06/23/2023,Statewide Total,62703,100
06/22/2023,0 to 9,47,0.1
06/22/2023,10 to 19,40,0.1
06/22/2023,20 to 29,266,0.4
06/22/2023,30 to 39,815,1.3
06/22/2023,40 to 49,1894,3
06/22/2023,50 to 59,5218,8.3
06/22/2023,60 to 69,11016,17.6
06/22/2023,70 to 79,16083,25.7
06/22/2023,80 to 89,17004,27.1
06/22/2023,90 and Over,10306,16.4
06/22/2023,Unknown,9,0
06/22/2023,Statewide Total,62698,100
06/21/2023,0 to 9,47,0.1
06/21/2023,10 to 19,40,0.1
06/21/2023,20 to 29,266,0.4
06/21/2023,30 to 39,815,1.3
06/21/2023,40 to 49,1894,3
06/21/2023,50 to 59,5217,8.3
06/21/2023,60 to 69,11016,17.6
06/21/2023,70 to 79,16082,25.7
06/21/2023,80 to 89,17004,27.1
06/21/2023,90 and Over,10305,16.4
06/21/2023,Unknown,9,0
06/21/2023,Statewide Total,62695,100
06/20/2023,0 to 9,47,0.1
06/20/2023,10 to 19,40,0.1
06/20/2023,20 to 29,266,0.4
06/20/2023,30 to 39,815,1.3
06/20/2023,40 to 49,1894,3
06/20/2023,50 to 59,5217,8.3
06/20/2023,60 to 69,11016,17.6
06/20/2023,70 to 79,16082,25.7
06/20/2023,80 to 89,17004,27.1
06/20/2023,90 and Over,10303,16.4
06/20/2023,Unknown,9,0
06/20/2023,Statewide Total,62693,100
06/16/2023,0 to 9,47,0.1
06/16/2023,10 to 19,40,0.1
06/16/2023,20 to 29,266,0.4
06/16/2023,30 to 39,815,1.3
06/16/2023,40 to 49,1894,3
06/16/2023,50 to 59,5217,8.3
06/16/2023,60 to 69,11012,17.6
06/16/2023,70 to 79,16081,25.7
06/16/2023,80 to 89,17000,27.1
06/16/2023,90 and Over,10298,16.4
06/16/2023,Unknown,9,0
06/16/2023,Statewide Total,62679,100
06/15/2023,0 to 9,47,0.1
06/15/2023,10 to 19,40,0.1
06/15/2023,20 to 29,266,0.4
06/15/2023,30 to 39,815,1.3
06/15/2023,40 to 49,1894,3
06/15/2023,50 to 59,5217,8.3
06/15/2023,60 to 69,11012,17.6
06/15/2023,70 to 79,16080,25.7
06/15/2023,80 to 89,16998,27.1
06/15/2023,90 and Over,10297,16.4
06/15/2023,Unknown,9,0
06/15/2023,Statewide Total,62675,100
06/14/2023,0 to 9,47,0.1
06/14/2023,10 to 19,40,0.1
06/14/2023,20 to 29,266,0.4
06/14/2023,30 to 39,815,1.3
06/14/2023,40 to 49,1894,3
06/14/2023,50 to 59,5217,8.3
06/14/2023,60 to 69,11012,17.6
06/14/2023,70 to 79,16078,25.7
06/14/2023,80 to 89,16997,27.1
06/14/2023,90 and Over,10296,16.4
06/14/2023,Unknown,9,0
06/14/2023,Statewide Total,62671,100
06/13/2023,0 to 9,47,0.1
06/13/2023,10 to 19,40,0.1
06/13/2023,20 to 29,266,0.4
06/13/2023,30 to 39,815,1.3
06/13/2023,40 to 49,1894,3
06/13/2023,50 to 59,5217,8.3
06/13/2023,60 to 69,11011,17.6
06/13/2023,70 to 79,16078,25.7
06/13/2023,80 to 89,16995,27.1
06/13/2023,90 and Over,10296,16.4
06/13/2023,Unknown,9,0
06/13/2023,Statewide Total,62668,100
06/12/2023,0 to 9,47,0.1
06/12/2023,10 to 19,40,0.1
06/12/2023,20 to 29,266,0.4
06/12/2023,30 to 39,815,1.3
06/12/2023,40 to 49,1894,3
06/12/2023,50 to 59,5216,8.3
06/12/2023,60 to 69,11011,17.6
06/12/2023,70 to 79,16078,25.7
06/12/2023,80 to 89,16995,27.1
06/12/2023,90 and Over,10294,16.4
06/12/2023,Unknown,9,0
06/12/2023,Statewide Total,62665,100
06/09/2023,0 to 9,47,0.1
06/09/2023,10 to 19,40,0.1
06/09/2023,20 to 29,266,0.4
06/09/2023,30 to 39,815,1.3
06/09/2023,40 to 49,1894,3
06/09/2023,50 to 59,5214,8.3
06/09/2023,60 to 69,11008,17.6
06/09/2023,70 to 79,16074,25.7
06/09/2023,80 to 89,16991,27.1
06/09/2023,90 and Over,10292,16.4
06/09/2023,Unknown,9,0
06/09/2023,Statewide Total,62650,100
06/08/2023,0 to 9,47,0.1
06/08/2023,10 to 19,40,0.1
06/08/2023,20 to 29,265,0.4
06/08/2023,30 to 39,814,1.3
06/08/2023,40 to 49,1894,3
06/08/2023,50 to 59,5214,8.3
06/08/2023,60 to 69,11008,17.6
06/08/2023,70 to 79,16074,25.7
06/08/2023,80 to 89,16989,27.1
06/08/2023,90 and Over,10290,16.4
06/08/2023,Unknown,9,0
06/08/2023,Statewide Total,62644,100
06/07/2023,0 to 9,47,0.1
06/07/2023,10 to 19,40,0.1
06/07/2023,20 to 29,265,0.4
06/07/2023,30 to 39,814,1.3
06/07/2023,40 to 49,1894,3
06/07/2023,50 to 59,5213,8.3
06/07/2023,60 to 69,11008,17.6
06/07/2023,70 to 79,16074,25.7
06/07/2023,80 to 89,16986,27.1
06/07/2023,90 and Over,10287,16.4
06/07/2023,Unknown,9,0
06/07/2023,Statewide Total,62637,100
06/06/2023,0 to 9,47,0.1
06/06/2023,10 to 19,40,0.1
06/06/2023,20 to 29,265,0.4
06/06/2023,30 to 39,814,1.3
06/06/2023,40 to 49,1894,3
06/06/2023,50 to 59,5212,8.3
06/06/2023,60 to 69,11006,17.6
06/06/2023,70 to 79,16074,25.7
06/06/2023,80 to 89,16984,27.1
06/06/2023,90 and Over,10287,16.4
06/06/2023,Unknown,9,0
06/06/2023,Statewide Total,62632,100
06/05/2023,0 to 9,47,0.1
06/05/2023,10 to 19,40,0.1
06/05/2023,20 to 29,265,0.4
06/05/2023,30 to 39,814,1.3
06/05/2023,40 to 49,1894,3
06/05/2023,50 to 59,5212,8.3
06/05/2023,60 to 69,11006,17.6
06/05/2023,70 to 79,16071,25.7
06/05/2023,80 to 89,16982,27.1
