Report Date,Age Group,Fatality Count,Percent
05/23/2023,80 to 89,16962,27.1
05/23/2023,90 and Over,10279,16.4
05/23/2023,Unknown,9,0
05/23/2023,Statewide Total,62572,100
05/22/2023,0 to 9,47,0.1
05/22/2023,10 to 19,39,0.1
05/22/2023,20 to 29,265,0.4
05/22/2023,30 to 39,812,1.3
05/22/2023,40 to 49,1893,3
05/22/2023,50 to 59,5208,8.3
05/22/2023,60 to 69,11002,17.6
05/22/2023,70 to 79,16055,25.7
05/22/2023,80 to 89,16962,27.1
05/22/2023,90 and Over,10277,16.4
05/22/2023,Unknown,9,0
05/22/2023,Statewide Total,62569,100
05/19/2023,0 to 9,47,0.1
05/19/2023,10 to 19,39,0.1
05/19/2023,20 to 29,264,0.4
05/19/2023,30 to 39,812,1.3
05/19/2023,40 to 49,1892,3
05/19/2023,50 to 59,5207,8.3
05/19/2023,60 to 69,11002,17.6
05/19/2023,70 to 79,16045,25.7
05/19/2023,80 to 89,16958,27.1
05/19/2023,90 and Over,10277,16.4
05/19/2023,Unknown,9,0
05/19/2023,Statewide Total,62552,100
05/18/2023,0 to 9,47,0.1
05/18/2023,10 to 19,39,0.1
05/18/2023,20 to 29,264,0.4
05/18/2023,30 to 39,812,1.3
05/18/2023,40 to 49,1892,3
05/18/2023,50 to 59,5207,8.3
05/18/2023,60 to 69,11002,17.6
05/18/2023,70 to 79,16045,25.7
05/18/2023,80 to 89,16958,27.1
05/18/2023,90 and Over,10276,16.4
05/18/2023,Unknown,9,0
05/18/2023,Statewide Total,62551,100
05/17/2023,0 to 9,47,0.1
05/17/2023,10 to 19,39,0.1
05/17/2023,20 to 29,264,0.4
05/17/2023,30 to 39,812,1.3
05/17/2023,40 to 49,1892,3
05/17/2023,50 to 59,5207,8.3
05/17/2023,60 to 69,11000,17.6
05/17/2023,70 to 79,16044,25.7
05/17/2023,80 to 89,16955,27.1
05/17/2023,90 and Over,10276,16.4
05/17/2023,Unknown,9,0
05/17/2023,Statewide Total,62545,100
05/16/2023,0 to 9,47,0.1
05/16/2023,10 to 19,39,0.1
05/16/2023,20 to 29,264,0.4
05/16/2023,30 to 39,812,1.3
05/16/2023,40 to 49,1892,3
05/16/2023,50 to 59,5207,8.3
05/16/2023,60 to 69,10999,17.6
05/16/2023,70 to 79,16043,25.7
05/16/2023,80 to 89,16955,27.1
05/16/2023,90 and Over,10276,16.4
05/16/2023,Unknown,9,0
05/16/2023,Statewide Total,62543,100
05/15/2023,0 to 9,47,0.1
05/15/2023,10 to 19,39,0.1
05/15/2023,20 to 29,264,0.4
05/15/2023,30 to 39,812,1.3
05/15/2023,40 to 49,1891,3
05/15/2023,50 to 59,5207,8.3
05/15/2023,60 to 69,10999,17.6
05/15/2023,70 to 79,16041,25.7
05/15/2023,80 to 89,16951,27.1
05/15/2023,90 and Over,10275,16.4
05/15/2023,Unknown,9,0
05/15/2023,Statewide Total,62535,100
05/12/2023,0 to 9,47,0.1
05/12/2023,10 to 19,39,0.1
05/12/2023,20 to 29,264,0.4
05/12/2023,30 to 39,812,1.3
05/12/2023,40 to 49,1891,3
05/12/2023,50 to 59,5207,8.3
05/12/2023,60 to 69,10995,17.6
05/12/2023,70 to 79,16038,25.7
05/12/2023,80 to 89,16947,27.1
05/12/2023,90 and Over,10274,16.4
05/12/2023,Unknown,9,0
05/12/2023,Statewide Total,62523,100
05/11/2023,0 to 9,47,0.1
05/11/2023,10 to 19,39,0.1
05/11/2023,20 to 29,264,0.4
05/11/2023,30 to 39,812,1.3
05/11/2023,40 to 49,1891,3
05/11/2023,50 to 59,5206,8.3
05/11/2023,60 to 69,10995,17.6
05/11/2023,70 to 79,16037,25.7
05/11/2023,80 to 89,16946,27.1
05/11/2023,90 and Over,10274,16.4
05/11/2023,Unknown,9,0
05/11/2023,Statewide Total,62520,100
05/10/2023,0 to 9,47,0.1
05/10/2023,10 to 19,39,0.1
05/10/2023,20 to 29,264,0.4
05/10/2023,30 to 39,812,1.3
05/10/2023,40 to 49,1891,3
05/10/2023,50 to 59,5206,8.3
05/10/2023,60 to 69,10995,17.6
05/10/2023,70 to 79,16036,25.7
05/10/2023,80 to 89,16944,27.1
05/10/2023,90 and Over,10274,16.4
05/10/2023,Unknown,9,0
05/10/2023,Statewide Total,62517,100
05/09/2023,0 to 9,47,0.1
05/09/2023,10 to 19,39,0.1
05/09/2023,20 to 29,264,0.4
05/09/2023,30 to 39,812,1.3
05/09/2023,40 to 49,1890,3
05/09/2023,50 to 59,5205,8.3
05/09/2023,60 to 69,10995,17.6
05/09/2023,70 to 79,16036,25.7
05/09/2023,80 to 89,16943,27.1
05/09/2023,90 and Over,10273,16.4
05/09/2023,Unknown,9,0
05/09/2023,Statewide Total,62513,100
05/08/2023,0 to 9,47,0.1
05/08/2023,10 to 19,39,0.1
05/08/2023,20 to 29,264,0.4
05/08/2023,30 to 39,812,1.3
05/08/2023,40 to 49,1890,3
05/08/2023,50 to 59,5205,8.3
05/08/2023,60 to 69,10992,17.6
05/08/2023,70 to 79,16036,25.7
05/08/2023,80 to 89,16942,27.1
05/08/2023,90 and Over,10273,16.4
05/08/2023,Unknown,9,0
05/08/2023,Statewide Total,62509,100
05/05/2023,0 to 9,47,0.1
05/05/2023,10 to 19,39,0.1
05/05/2023,20 to 29,264,0.4
05/05/2023,30 to 39,812,1.3
05/05/2023,40 to 49,1890,3
05/05/2023,50 to 59,5204,8.3
05/05/2023,60 to 69,10990,17.6
05/05/2023,70 to 79,16030,25.7
05/05/2023,80 to 89,16936,27.1
05/05/2023,90 and Over,10271,16.4
05/05/2023,Unknown,9,0
05/05/2023,Statewide Total,62492,100
05/04/2023,0 to 9,47,0.1
05/04/2023,10 to 19,39,0.1
05/04/2023,20 to 29,264,0.4
05/04/2023,30 to 39,812,1.3
05/04/2023,40 to 49,1890,3
05/04/2023,50 to 59,5204,8.3
05/04/2023,60 to 69,10990,17.6
05/04/2023,70 to 79,16028,25.7
05/04/2023,80 to 89,16935,27.1
05/04/2023,90 and Over,10270,16.4
05/04/2023,Unknown,9,0
05/04/2023,Statewide Total,62488,100
05/03/2023,0 to 9,47,0.1
05/03/2023,10 to 19,39,0.1
05/03/2023,20 to 29,264,0.4
05/03/2023,30 to 39,812,1.3
05/03/2023,40 to 49,1890,3
05/03/2023,50 to 59,5203,8.3
05/03/2023,60 to 69,10990,17.6
05/03/2023,70 to 79,16026,25.7
05/03/2023,80 to 89,16934,27.1
05/03/2023,90 and Over,10268,16.4
05/03/2023,Unknown,9,0
05/03/2023,Statewide Total,62482,100
05/02/2023,0 to 9,47,0.1
05/02/2023,10 to 19,39,0.1
05/02/2023,20 to 29,264,0.4
05/02/2023,30 to 39,811,1.3
05/02/2023,40 to 49,1889,3
05/02/2023,50 to 59,5203,8.3
05/02/2023,60 to 69,10987,17.6
05/02/2023,70 to 79,16025,25.7
05/02/2023,80 to 89,16931,27.1
05/02/2023,90 and Over,10264,16.4
05/02/2023,Unknown,9,0
05/02/2023,Statewide Total,62469,100
05/01/2023,0 to 9,47,0.1
05/01/2023,10 to 19,39,0.1
05/01/2023,20 to 29,264,0.4
05/01/2023,30 to 39,811,1.3
05/01/2023,40 to 49,1889,3
05/01/2023,50 to 59,5203,8.3
05/01/2023,60 to 69,10987,17.6
05/01/2023,70 to 79,16025,25.7
05/01/2023,80 to 89,16928,27.1
05/01/2023,90 and Over,10263,16.4
05/01/2023,Unknown,9,0
05/01/2023,Statewide Total,62465,100
04/28/2023,0 to 9,47,0.1
04/28/2023,10 to 19,39,0.1
04/28/2023,20 to 29,264,0.4
04/28/2023,30 to 39,811,1.3
04/28/2023,40 to 49,1889,3
04/28/2023,50 to 59,5203,8.3
04/28/2023,60 to 69,10985,17.6
04/28/2023,70 to 79,16021,25.7
04/28/2023,80 to 89,16923,27.1
04/28/2023,90 and Over,10262,16.4
04/28/2023,Unknown,9,0
04/28/2023,Statewide Total,62453,100
04/27/2023,0 to 9,47,0.1
04/27/2023,10 to 19,39,0.1
04/27/2023,20 to 29,264,0.4
04/27/2023,30 to 39,811,1.3
04/27/2023,40 to 49,1888,3
04/27/2023,50 to 59,5203,8.3
04/27/2023,60 to 69,10984,17.6
04/27/2023,70 to 79,16020,25.7
04/27/2023,80 to 89,16921,27.1
04/27/2023,90 and Over,10261,16.4
04/27/2023,Unknown,9,0
04/27/2023,Statewide Total,62447,100
04/26/2023,0 to 9,47,0.1
04/26/2023,10 to 19,39,0.1
04/26/2023,20 to 29,264,0.4
04/26/2023,30 to 39,810,1.3
04/26/2023,40 to 49,1888,3
04/26/2023,50 to 59,5203,8.3
04/26/2023,60 to 69,10983,17.6
04/26/2023,70 to 79,16019,25.7
04/26/2023,80 to 89,16917,27.1
04/26/2023,90 and Over,10259,16.4
04/26/2023,Unknown,9,0
04/26/2023,Statewide Total,62438,100
04/25/2023,0 to 9,47,0.1
04/25/2023,10 to 19,39,0.1
04/25/2023,20 to 29,264,0.4
04/25/2023,30 to 39,810,1.3
04/25/2023,40 to 49,1888,3
04/25/2023,50 to 59,5203,8.3
04/25/2023,60 to 69,10982,17.6
04/25/2023,70 to 79,16018,25.7
04/25/2023,80 to 89,16913,27.1
04/25/2023,90 and Over,10259,16.4
04/25/2023,Unknown,9,0
04/25/2023,Statewide Total,62432,100
04/24/2023,0 to 9,47,0.1
04/24/2023,10 to 19,39,0.1
04/24/2023,20 to 29,264,0.4
04/24/2023,30 to 39,810,1.3
04/24/2023,40 to 49,1888,3
04/24/2023,50 to 59,5203,8.3
04/24/2023,60 to 69,10981,17.6
04/24/2023,70 to 79,16017,25.7
04/24/2023,80 to 89,16911,27.1
04/24/2023,90 and Over,10257,16.4
04/24/2023,Unknown,9,0
04/24/2023,Statewide Total,62426,100
04/21/2023,0 to 9,47,0.1
04/21/2023,10 to 19,39,0.1
04/21/2023,20 to 29,264,0.4
04/21/2023,30 to 39,810,1.3
04/21/2023,40 to 49,1887,3
04/21/2023,50 to 59,5203,8.3
04/21/2023,60 to 69,10977,17.6
04/21/2023,70 to 79,16012,25.7
04/21/2023,80 to 89,16907,27.1
04/21/2023,90 and Over,10252,16.4
04/21/2023,Unknown,9,0
04/21/2023,Statewide Total,62407,100
04/20/2023,0 to 9,47,0.1
04/20/2023,10 to 19,39,0.1
04/20/2023,20 to 29,264,0.4
04/20/2023,30 to 39,810,1.3
04/20/2023,40 to 49,1887,3
04/20/2023,50 to 59,5202,8.3
04/20/2023,60 to 69,10974,17.6
04/20/2023,70 to 79,16006,25.7
04/20/2023,80 to 89,16904,27.1
04/20/2023,90 and Over,10251,16.4
04/20/2023,Unknown,9,0
04/20/2023,Statewide Total,62393,100
04/19/2023,0 to 9,47,0.1
04/19/2023,10 to 19,39,0.1
04/19/2023,20 to 29,264,0.4
04/19/2023,30 to 39,810,1.3
04/19/2023,40 to 49,1887,3
04/19/2023,50 to 59,5202,8.3
04/19/2023,60 to 69,10972,17.6
04/19/2023,70 to 79,16005,25.7
04/19/2023,80 to 89,16901,27.1
04/19/2023,90 and Over,10250,16.4
04/19/2023,Unknown,9,0
04/19/2023,Statewide Total,62386,100
04/18/2023,0 to 9,47,0.1
04/18/2023,10 to 19,39,0.1
04/18/2023,20 to 29,264,0.4
04/18/2023,30 to 39,810,1.3
04/18/2023,40 to 49,1887,3
04/18/2023,50 to 59,5201,8.3
04/18/2023,60 to 69,10971,17.6
04/18/2023,70 to 79,16002,25.7
04/18/2023,80 to 89,16898,27.1
04/18/2023,90 and Over,10249,16.4
04/18/2023,Unknown,9,0
04/18/2023,Statewide Total,62377,100
04/17/2023,0 to 9,47,0.1
04/17/2023,10 to 19,39,0.1
04/17/2023,20 to 29,264,0.4
04/17/2023,30 to 39,810,1.3
04/17/2023,40 to 49,1886,3
04/17/2023,50 to 59,5201,8.3
04/17/2023,60 to 69,10970,17.6
04/17/2023,70 to 79,15999,25.7
04/17/2023,80 to 89,16895,27.1
04/17/2023,90 and Over,10247,16.4
04/17/2023,Unknown,9,0
04/17/2023,Statewide Total,62367,100
04/14/2023,0 to 9,47,0.1
04/14/2023,10 to 19,39,0.1
04/14/2023,20 to 29,264,0.4
04/14/2023,30 to 39,807,1.3
04/14/2023,40 to 49,1884,3
04/14/2023,50 to 59,5196,8.3
04/14/2023,60 to 69,10969,17.6
04/14/2023,70 to 79,15994,25.7
04/14/2023,80 to 89,16891,27.1
04/14/2023,90 and Over,10243,16.4
04/14/2023,Unknown,9,0
04/14/2023,Statewide Total,62343,100
04/13/2023,0 to 9,47,0.1
04/13/2023,10 to 19,39,0.1
04/13/2023,20 to 29,264,0.4
04/13/2023,30 to 39,807,1.3
04/13/2023,40 to 49,1884,3
04/13/2023,50 to 59,5195,8.3
04/13/2023,60 to 69,10967,17.6
04/13/2023,70 to 79,15994,25.7
04/13/2023,80 to 89,16887,27.1
04/13/2023,90 and Over,10241,16.4
04/13/2023,Unknown,9,0
04/13/2023,Statewide Total,62334,100
04/12/2023,0 to 9,47,0.1
04/12/2023,10 to 19,39,0.1
04/12/2023,20 to 29,264,0.4
04/12/2023,30 to 39,805,1.3
04/12/2023,40 to 49,1883,3
04/12/2023,50 to 59,5194,8.3
04/12/2023,60 to 69,10965,17.6
04/12/2023,70 to 79,15993,25.7
04/12/2023,80 to 89,16882,27.1
04/12/2023,90 and Over,10238,16.4
04/12/2023,Unknown,9,0
04/12/2023,Statewide Total,62319,100
04/11/2023,0 to 9,47,0.1
04/11/2023,10 to 19,39,0.1
04/11/2023,20 to 29,264,0.4
04/11/2023,30 to 39,805,1.3
04/11/2023,40 to 49,1883,3
04/11/2023,50 to 59,5194,8.3
04/11/2023,60 to 69,10965,17.6
04/11/2023,70 to 79,15992,25.7
04/11/2023,80 to 89,16880,27.1
04/11/2023,90 and Over,10238,16.4
04/11/2023,Unknown,9,0
04/11/2023,Statewide Total,62316,100
04/10/2023,0 to 9,47,0.1
04/10/2023,10 to 19,38,0.1
04/10/2023,20 to 29,264,0.4
04/10/2023,30 to 39,805,1.3
04/10/2023,40 to 49,1883,3
04/10/2023,50 to 59,5194,8.3
04/10/2023,60 to 69,10963,17.6
04/10/2023,70 to 79,15990,25.7
04/10/2023,80 to 89,16875,27.1
04/10/2023,90 and Over,10237,16.4
04/10/2023,Unknown,9,0
04/10/2023,Statewide Total,62305,100
04/07/2023,0 to 9,47,0.1
04/07/2023,10 to 19,38,0.1
04/07/2023,20 to 29,264,0.4
04/07/2023,30 to 39,805,1.3
04/07/2023,40 to 49,1883,3
04/07/2023,50 to 59,5193,8.3
04/07/2023,60 to 69,10960,17.6
04/07/2023,70 to 79,15982,25.7
04/07/2023,80 to 89,16868,27.1
04/07/2023,90 and Over,10231,16.4
04/07/2023,Unknown,9,0
04/07/2023,Statewide Total,62280,100
04/06/2023,0 to 9,47,0.1
04/06/2023,10 to 19,38,0.1
04/06/2023,20 to 29,264,0.4
04/06/2023,30 to 39,805,1.3
04/06/2023,40 to 49,1883,3
04/06/2023,50 to 59,5191,8.3
04/06/2023,60 to 69,10960,17.6
04/06/2023,70 to 79,15981,25.7
04/06/2023,80 to 89,16866,27.1
04/06/2023,90 and Over,10229,16.4
04/06/2023,Unknown,9,0
04/06/2023,Statewide Total,62273,100
04/05/2023,0 to 9,47,0.1
04/05/2023,10 to 19,38,0.1
04/05/2023,20 to 29,263,0.4
04/05/2023,30 to 39,805,1.3
04/05/2023,40 to 49,1881,3
04/05/2023,50 to 59,5190,8.3
04/05/2023,60 to 69,10958,17.6
04/05/2023,70 to 79,15979,25.7
04/05/2023,80 to 89,16865,27.1
04/05/2023,90 and Over,10228,16.4
04/05/2023,Unknown,9,0
04/05/2023,Statewide Total,62263,100
04/04/2023,0 to 9,47,0.1
04/04/2023,10 to 19,38,0.1
04/04/2023,20 to 29,263,0.4
04/04/2023,30 to 39,804,1.3
04/04/2023,40 to 49,1881,3
04/04/2023,50 to 59,5189,8.3
04/04/2023,60 to 69,10957,17.6
04/04/2023,70 to 79,15978,25.7
04/04/2023,80 to 89,16861,27.1
04/04/2023,90 and Over,10227,16.4
04/04/2023,Unknown,9,0
04/04/2023,Statewide Total,62254,100
04/03/2023,0 to 9,47,0.1
04/03/2023,10 to 19,38,0.1
04/03/2023,20 to 29,263,0.4
04/03/2023,30 to 39,804,1.3
04/03/2023,40 to 49,1881,3
04/03/2023,50 to 59,5188,8.3
04/03/2023,60 to 69,10956,17.6
04/03/2023,70 to 79,15973,25.7
04/03/2023,80 to 89,16860,27.1
04/03/2023,90 and Over,10226,16.4
04/03/2023,Unknown,9,0
04/03/2023,Statewide Total,62245,100
03/31/2023,0 to 9,46,0.1
03/31/2023,10 to 19,38,0.1
03/31/2023,20 to 29,263,0.4
03/31/2023,30 to 39,804,1.3
03/31/2023,40 to 49,1881,3
03/31/2023,50 to 59,5188,8.3
03/31/2023,60 to 69,10951,17.6
03/31/2023,70 to 79,15968,25.7
03/31/2023,80 to 89,16854,27.1
03/31/2023,90 and Over,10223,16.4
03/31/2023,Unknown,9,0
03/31/2023,Statewide Total,62225,100
03/30/2023,0 to 9,46,0.1
03/30/2023,10 to 19,38,0.1
03/30/2023,20 to 29,263,0.4
03/30/2023,30 to 39,804,1.3
03/30/2023,40 to 49,1880,3
03/30/2023,50 to 59,5187,8.3
03/30/2023,60 to 69,10950,17.6
03/30/2023,70 to 79,15962,25.7
03/30/2023,80 to 89,16851,27.1
03/30/2023,90 and Over,10222,16.4
03/30/2023,Unknown,9,0
03/30/2023,Statewide Total,62212,100
03/29/2023,0 to 9,46,0.1
03/29/2023,10 to 19,38,0.1
03/29/2023,20 to 29,262,0.4
03/29/2023,30 to 39,802,1.3
03/29/2023,40 to 49,1880,3
03/29/2023,50 to 59,5186,8.3
03/29/2023,60 to 69,10947,17.6
03/29/2023,70 to 79,15960,25.7
03/29/2023,80 to 89,16849,27.1
03/29/2023,90 and Over,10221,16.4
03/29/2023,Unknown,9,0
03/29/2023,Statewide Total,62200,100
03/28/2023,0 to 9,46,0.1
03/28/2023,10 to 19,38,0.1
03/28/2023,20 to 29,262,0.4
03/28/2023,30 to 39,802,1.3
03/28/2023,40 to 49,1880,3
03/28/2023,50 to 59,5185,8.3
03/28/2023,60 to 69,10944,17.6
03/28/2023,70 to 79,15959,25.7
03/28/2023,80 to 89,16846,27.1
03/28/2023,90 and Over,10218,16.4
03/28/2023,Unknown,9,0
03/28/2023,Statewide Total,62189,100
03/27/2023,0 to 9,46,0.1
03/27/2023,10 to 19,38,0.1
03/27/2023,20 to 29,262,0.4
03/27/2023,30 to 39,801,1.3
03/27/2023,40 to 49,1880,3
03/27/2023,50 to 59,5184,8.3
03/27/2023,60 to 69,10943,17.6
03/27/2023,70 to 79,15955,25.7
03/27/2023,80 to 89,16840,27.1
03/27/2023,90 and Over,10217,16.4
03/27/2023,Unknown,9,0
03/27/2023,Statewide Total,62175,100
03/24/2023,0 to 9,46,0.1
03/24/2023,10 to 19,38,0.1
03/24/2023,20 to 29,262,0.4
03/24/2023,30 to 39,801,1.3
03/24/2023,40 to 49,1880,3
03/24/2023,50 to 59,5182,8.3
03/24/2023,60 to 69,10940,17.6
03/24/2023,70 to 79,15950,25.7
03/24/2023,80 to 89,16835,27.1
03/24/2023,90 and Over,10212,16.4
03/24/2023,Unknown,9,0
03/24/2023,Statewide Total,62155,100
03/23/2023,0 to 9,46,0.1
03/23/2023,10 to 19,38,0.1
03/23/2023,20 to 29,261,0.4
03/23/2023,30 to 39,801,1.3
03/23/2023,40 to 49,1880,3
03/23/2023,50 to 59,5181,8.3
03/23/2023,60 to 69,10939,17.6
03/23/2023,70 to 79,15948,25.7
03/23/2023,80 to 89,16830,27.1
03/23/2023,90 and Over,10209,16.4
03/23/2023,Unknown,9,0
03/23/2023,Statewide Total,62142,100
03/22/2023,0 to 9,45,0.1
03/22/2023,10 to 19,38,0.1
03/22/2023,20 to 29,261,0.4
03/22/2023,30 to 39,801,1.3
03/22/2023,40 to 49,1880,3
03/22/2023,50 to 59,5180,8.3
03/22/2023,60 to 69,10939,17.6
03/22/2023,70 to 79,15947,25.7
03/22/2023,80 to 89,16829,27.1
03/22/2023,90 and Over,10208,16.4
03/22/2023,Unknown,9,0
03/22/2023,Statewide Total,62137,100
03/21/2023,0 to 9,45,0.1
03/21/2023,10 to 19,38,0.1
03/21/2023,20 to 29,261,0.4
03/21/2023,30 to 39,801,1.3
03/21/2023,40 to 49,1880,3
03/21/2023,50 to 59,5180,8.3
03/21/2023,60 to 69,10939,17.6
03/21/2023,70 to 79,15944,25.7
03/21/2023,80 to 89,16824,27.1
03/21/2023,90 and Over,10207,16.4
03/21/2023,Unknown,9,0
03/21/2023,Statewide Total,62128,100
03/20/2023,0 to 9,45,0.1
03/20/2023,10 to 19,38,0.1
03/20/2023,20 to 29,261,0.4
03/20/2023,30 to 39,800,1.3
03/20/2023,40 to 49,1880,3
03/20/2023,50 to 59,5180,8.3
03/20/2023,60 to 69,10937,17.6
03/20/2023,70 to 79,15942,25.7
03/20/2023,80 to 89,16821,27.1
03/20/2023,90 and Over,10205,16.4
03/20/2023,Unknown,9,0
03/20/2023,Statewide Total,62118,100
03/17/2023,0 to 9,45,0.1
03/17/2023,10 to 19,38,0.1
03/17/2023,20 to 29,261,0.4
03/17/2023,30 to 39,800,1.3
03/17/2023,40 to 49,1880,3
03/17/2023,50 to 59,5177,8.3
03/17/2023,60 to 69,10933,17.6
03/17/2023,70 to 79,15936,25.7
03/17/2023,80 to 89,16814,27.1
03/17/2023,90 and Over,10201,16.4
03/17/2023,Unknown,9,0
03/17/2023,Statewide Total,62094,100
03/16/2023,0 to 9,45,0.1
03/16/2023,10 to 19,38,0.1
03/16/2023,20 to 29,261,0.4
03/16/2023,30 to 39,800,1.3
03/16/2023,40 to 49,1880,3
03/16/2023,50 to 59,5174,8.3
03/16/2023,60 to 69,10931,17.6
03/16/2023,70 to 79,15934,25.7
03/16/2023,80 to 89,16811,27.1
03/16/2023,90 and Over,10195,16.4
03/16/2023,Unknown,9,0
03/16/2023,Statewide Total,62078,100
03/15/2023,0 to 9,45,0.1
03/15/2023,10 to 19,38,0.1
03/15/2023,20 to 29,261,0.4
03/15/2023,30 to 39,800,1.3
03/15/2023,40 to 49,1880,3
03/15/2023,50 to 59,5173,8.3
03/15/2023,60 to 69,10929,17.6
03/15/2023,70 to 79,15932,25.7
03/15/2023,80 to 89,16807,27.1
03/15/2023,90 and Over,10193,16.4
03/15/2023,Unknown,9,0
03/15/2023,Statewide Total,62067,100
03/14/2023,0 to 9,45,0.1
03/14/2023,10 to 19,38,0.1
03/14/2023,20 to 29,261,0.4
03/14/2023,30 to 39,800,1.3
03/14/2023,40 to 49,1880,3
03/14/2023,50 to 59,5172,8.3
03/14/2023,60 to 69,10929,17.6
03/14/2023,70 to 79,15929,25.7
03/14/2023,80 to 89,16806,27.1
03/14/2023,90 and Over,10189,16.4
03/14/2023,Unknown,9,0
03/14/2023,Statewide Total,62058,100
03/13/2023,0 to 9,45,0.1
03/13/2023,10 to 19,38,0.1
03/13/2023,20 to 29,261,0.4
03/13/2023,30 to 39,800,1.3
03/13/2023,40 to 49,1880,3
03/13/2023,50 to 59,5172,8.3
03/13/2023,60 to 69,10927,17.6
03/13/2023,70 to 79,15921,25.7
03/13/2023,80 to 89,16798,27.1
03/13/2023,90 and Over,10186,16.4
03/13/2023,Unknown,9,0
03/13/2023,Statewide Total,62037,100
03/10/2023,0 to 9,45,0.1
03/10/2023,10 to 19,38,0.1
03/10/2023,20 to 29,261,0.4
03/10/2023,30 to 39,800,1.3
03/10/2023,40 to 49,1879,3
03/10/2023,50 to 59,5170,8.3
03/10/2023,60 to 69,10924,17.6
03/10/2023,70 to 79,15914,25.7
03/10/2023,80 to 89,16780,27.1
03/10/2023,90 and Over,10174,16.4
03/10/2023,Unknown,9,0
03/10/2023,Statewide Total,61994,100
03/09/2023,0 to 9,45,0.1
03/09/2023,10 to 19,38,0.1
03/09/2023,20 to 29,261,0.4
03/09/2023,30 to 39,800,1.3
03/09/2023,40 to 49,1878,3
03/09/2023,50 to 59,5169,8.3
03/09/2023,60 to 69,10921,17.6
03/09/2023,70 to 79,15911,25.7
03/09/2023,80 to 89,16776,27.1
03/09/2023,90 and Over,10170,16.4
03/09/2023,Unknown,9,0
03/09/2023,Statewide Total,61978,100
03/08/2023,0 to 9,45,0.1
03/08/2023,10 to 19,38,0.1
03/08/2023,20 to 29,261,0.4
03/08/2023,30 to 39,800,1.3
03/08/2023,40 to 49,1878,3
03/08/2023,50 to 59,5168,8.3
03/08/2023,60 to 69,10920,17.6
03/08/2023,70 to 79,15905,25.7
03/08/2023,80 to 89,16773,27.1
03/08/2023,90 and Over,10167,16.4
03/08/2023,Unknown,9,0
03/08/2023,Statewide Total,61964,100
03/07/2023,0 to 9,44,0.1
03/07/2023,10 to 19,38,0.1
03/07/2023,20 to 29,261,0.4
03/07/2023,30 to 39,800,1.3
03/07/2023,40 to 49,1877,3
03/07/2023,50 to 59,5167,8.3
03/07/2023,60 to 69,10919,17.6
03/07/2023,70 to 79,15903,25.7
03/07/2023,80 to 89,16770,27.1
03/07/2023,90 and Over,10162,16.4
03/07/2023,Unknown,9,0
03/07/2023,Statewide Total,61950,100
03/06/2023,0 to 9,44,0.1
03/06/2023,10 to 19,38,0.1
03/06/2023,20 to 29,261,0.4
03/06/2023,30 to 39,800,1.3
03/06/2023,40 to 49,1876,3
03/06/2023,50 to 59,5167,8.3
03/06/2023,60 to 69,10917,17.6
03/06/2023,70 to 79,15901,25.7
03/06/2023,80 to 89,16766,27.1
03/06/2023,90 and Over,10162,16.4
03/06/2023,Unknown,9,0
03/06/2023,Statewide Total,61941,100
03/03/2023,0 to 9,43,0.1
03/03/2023,10 to 19,38,0.1
03/03/2023,20 to 29,261,0.4
03/03/2023,30 to 39,800,1.3
03/03/2023,40 to 49,1874,3
03/03/2023,50 to 59,5165,8.3
03/03/2023,60 to 69,10912,17.6
03/03/2023,70 to 79,15891,25.7
03/03/2023,80 to 89,16752,27.1
03/03/2023,90 and Over,10161,16.4
03/03/2023,Unknown,9,0
03/03/2023,Statewide Total,61906,100
03/02/2023,0 to 9,43,0.1
03/02/2023,10 to 19,38,0.1
03/02/2023,20 to 29,261,0.4
03/02/2023,30 to 39,800,1.3
03/02/2023,40 to 49,1874,3
03/02/2023,50 to 59,5164,8.3
03/02/2023,60 to 69,10910,17.6
03/02/2023,70 to 79,15888,25.7
03/02/2023,80 to 89,16748,27.1
03/02/2023,90 and Over,10159,16.4
03/02/2023,Unknown,9,0
03/02/2023,Statewide Total,61894,100
03/01/2023,0 to 9,43,0.1
03/01/2023,10 to 19,38,0.1
03/01/2023,20 to 29,261,0.4
03/01/2023,30 to 39,799,1.3
03/01/2023,40 to 49,1874,3
03/01/2023,50 to 59,5163,8.3
03/01/2023,60 to 69,10908,17.6
03/01/2023,70 to 79,15886,25.7
03/01/2023,80 to 89,16745,27.1
03/01/2023,90 and Over,10158,16.4
03/01/2023,Unknown,9,0
03/01/2023,Statewide Total,61884,100
02/28/2023,0 to 9,43,0.1
02/28/2023,10 to 19,38,0.1
02/28/2023,20 to 29,261,0.4
02/28/2023,30 to 39,798,1.3
02/28/2023,40 to 49,1874,3
02/28/2023,50 to 59,5162,8.3
02/28/2023,60 to 69,10907,17.6
02/28/2023,70 to 79,15883,25.7
02/28/2023,80 to 89,16739,27.1
02/28/2023,90 and Over,10156,16.4
02/28/2023,Unknown,9,0
02/28/2023,Statewide Total,61870,100
02/27/2023,0 to 9,43,0.1
02/27/2023,10 to 19,38,0.1
02/27/2023,20 to 29,261,0.4
02/27/2023,30 to 39,797,1.3
02/27/2023,40 to 49,1874,3
02/27/2023,50 to 59,5162,8.4
02/27/2023,60 to 69,10905,17.6
02/27/2023,70 to 79,15879,25.7
