"","time","S1","S2","S3","E1","E2","E3","I1","I2","I3","R1","R2","R3"
"31",30,9232242.60385961,13780953.0254836,11534063.042757,844025.23438018,1180640.35546556,489250.928275164,191004.37841576,266731.979844855,109258.143026159,38487.7833444476,53679.6392060066,21969.8859416363
"32",31,8881286.75835144,13287725.3449368,11322768.3939798,1116997.53748994,1564705.69408208,655077.872654933,255677.198202806,357299.731823559,147090.313897987,51798.5059558077,72274.2291575954,29605.4194672597
"33",32,8431046.74116266,12652942.682665,11044632.7998112,1464512.0129311,2055451.19618885,872494.216050231,340627.095260431,476483.863812381,197542.351232641,69574.1506458044,97127.2573337781,39872.6329059482
"34",33,7865267.4066313,11851862.3281729,10682872.9479661,1896438.83419693,2668430.50629052,1153674.05935755,450874.276301874,631542.782650416,264357.725125644,93179.4828698807,130169.382886126,53637.2675507327
"35",34,7173380.5654967,10866723.3863283,10219790.3439684,2416390.64729233,3411246.09412206,1510723.79693137,591697.980431062,830249.998575802,352015.872380716,124290.806779901,173785.52097386,72011.9867194851
"36",35,6356465.0458871,9695075.62613919,9639214.61840693,3016466.72404022,4276141.3325032,1953330.05943447,767935.806675476,1079967.35183796,465599.846157978,164892.423397202,230820.68951965,96397.4760006207
"37",36,5433726.24513784,8359331.4236676,8930417.33084549,3671914.79513982,5232002.59260661,2485175.12653035,982899.547259584,1386157.5569624,610440.252268414,217219.412462748,304513.426763391,128509.290355755
"38",37,4446689.18114019,6913896.31622564,8093220.26507063,4338424.27624093,6219334.89786397,3099484.10247659,1237020.36131208,1750448.48719937,791462.87465674,283626.181306795,398325.298711025,170374.75779604
"39",38,3457164.53962054,5444303.98482183,7143081.95801415,4955636.42365582,7153344.67004899,3774946.8428557,1526585.07917563,2168705.15114796,1012231.86836662,366373.957548008,515651.193981228,224281.330763522
"40",39,2536350.31285902,4053872.97194713,6113939.90698366,5458910.49993883,7938795.21307218,4474127.62965437,1843140.03753063,2629903.57178333,1273813.33042182,467359.149671516,659433.24319736,292661.132940155
"41",40,1747115.21534241,2839312.19554854,5056304.68923791,5796699.95556019,8494296.52669493,5146571.7537094,2174104.19340376,3116642.91060883,1573756.64452175,587840.635693625,831753.367147697,377908.912530942
"42",41,1127018.51022155,1864871.54017711,4029565.70067683,5945832.57235587,8776054.51718227,5737237.16450224,2504665.48939315,3607564.57304396,1905586.89981791,728243.428029423,1033514.36959666,482152.235003027
"43",42,680937.950804915,1148116.80978631,3090257.14622096,5916331.31066714,8788541.62797174,6198137.71535422,2820388.84069701,4081036.6741134,2259131.77004013,888101.897830929,1264309.88812855,607015.368384686
"44",43,386412.503538586,663951.855566198,2280616.15876001,5743653.19779687,8576805.5014849,6498779.02775361,3109538.40772382,4518728.27873894,2621717.41849039,1066155.89094072,1522519.36420997,753429.394995994
"45",44,206950.840068823,362185.518379049,1621871.86974761,5473919.00190734,8206414.07717352,6631222.77214032,3364333.47302685,4907824.11136912,2979914.36191715,1260556.68499698,1805581.29307831,921532.996194917
"46",45,105260.29448878,187434.366253463,1114164.75033235,5150402.82980983,7742770.89761355,6608388.4237519,3580985.98492506,5241454.19290765,3321307.3856737,1469110.89077632,2110345.54322535,1110681.44024205
"47",46,51198.7585433417,92627.5173969722,741750.864149642,4806149.00465426,7238204.4119298,6457423.70490385,3758913.16116216,5517765.98039048,3635817.25074812,1689499.07564024,2433407.09028276,1319550.18019838
"48",47,23985.2168525553,44014.1181681036,480355.030589559,4462665.11008817,6728209.97208825,6211540.54431905,3899673.31644916,5738417.98947712,3916348.52004166,1919436.35661011,2771362.92026653,1546297.90504973
"49",48,10897.3655854648,20247.0451029579,303794.041253091,4132074.60730596,6233650.56870964,5903195.04423699,4006016.80722056,5907129.55866296,4158804.16223133,2156771.21988801,3120977.82752444,1788748.75227858
"50",49,4833.03310964687,9075.50331727514,188379.335718839,3820183.50068394,5765066.3552288,5559930.2489917,4081208.18679331,6028589.85832314,4361671.101642,2399535.27941309,3479273.28313078,2044561.31364747
"51",50,2104.93008411556,3987.8915737849,114972.184025832,3529081.64063125,5326690.61157041,5202792.31419354,4128612.87202015,6107763.52987438,4525411.64039565,2645960.55726447,3843562.96698142,2311365.86138498
"52",51,905.17232200587,1727.34484959616,69315.3440816899,3258899.66097459,4919315.90239593,4846519.72629041,4151477.0020008,6149505.27854159,4651842.94321747,2894478.1647026,4211456.47421289,2586863.98641044
"53",52,386.201583414074,741.216516134099,41418.5344602613,3008839.5296686,4542043.41313935,4500622.66896203,4152826.58926624,6158373.98088707,4743607.39090023,3143707.67948174,4580846.38945745,2868893.40567747
"54",53,164.198052406472,316.505604719167,24604.2523061935,2777721.11114033,4193240.41112793,4170702.75650373,4135432.04456751,6138560.12532083,4803770.23732301,3392442.64623975,4949887.95794652,3155464.75386707
"55",54,69.8322970420871,135.02366093375,14570.1812295389,2564249.94170095,3871022.20161171,3859653.81670116,4101805.18246705,6093871.41973419,4835539.99944061,3639635.04353495,5316976.35499316,3444778.0026287
"56",55,29.8086885793993,57.7498723318922,8622.23196189973,2367139.28494543,3573477.71779466,3568605.86419456,4054210.8347202,6027745.51694818,4842088.67247057,3884380.07164579,5680724.01538483,3735225.23137298
"57",56,12.8087477352472,24.8392009394665,5109.90797641256,2185161.21400739,3298767.14607314,3297602.09592173,3994684.13992504,5943273.89950032,4826445.06253105,4125901.83731982,6039939.1152256,4025384.93357081
"58",57,5.55468766659298,10.7728728382728,3038.57540274914,2017164.96871886,3045159.3185033,3046054.07480387,3925049.34203515,5843229.29107226,4791437.83168838,4363540.13455832,6393605.6175516,4314011.518105
"59",58,2.43647289930529,4.72213741104641,1815.97811889376,1862080.93617336,2811042.12717706,2813033.18164017,3846938.27778306,5730093.17416155,4739670.41577368,4596738.34957068,6740864.97652398,4600022.42446726
"60",59,1.08301587688783,2.09615474486789,1092.34306182354,1718918.64411492,2594921.44789228,2597449.95012622,3761807.82695803,5606081.99840692,4673515.34125921,4825032.44591117,7080999.45754606,4882484.36555275
"61",60,0.488627163515401,0.943891977097117,662.143797300698,1586762.46665633,2395415.50755667,2398160.53089472,3670956.08587055,5473171.5719298,4595119.72786086,5048040.95884594,7413416.97662156,5160599.59744711
"62",61,0.224066256827692,0.431774306700626,404.900531692372,1464766.62371534,2211247.70097679,2214027.57238643,3575537.23148686,5333119.52194796,4506416.80726313,5265455.92073154,7737637.34530095,5433692.71981874
"63",62,0.104548337541533,0.20088340188929,249.996394789328,1352150.12826,2041239.11942492,2043953.41648403,3476575.12706468,5187485.87334313,4409140.32141188,5477034.64012698,8053279.80634855,5701198.2657093
"64",63,0.0496816732996856,0.0951500555632468,155.966352053186,1248191.93862719,1884301.29912188,1886896.88060129,3374975.75020981,5037651.85537989,4304839.95980996,5682592.26148132,8360051.75034818,5962649.1932367
"65",64,0.0240618247960057,0.0459189735774026,98.3794756602403,1152226.40647403,1739429.37781397,1741880.51979003,3271538.53207273,4884837.06550276,4194896.79351165,5881995.0373914,8657738.51076429,6217666.30722266
"66",65,0.0118838957518681,0.0225923318475545,62.7722323227455,1063639.04220098,1605695.71435352,1607992.49346461,3166966.69516933,4730115.12024445,4080538.14246485,6075154.25074579,8946194.1428097,6465948.59183821
"67",66,0.00598778336745872,0.0113374483026665,40.5309610989471,981862.592149962,1482243.97200713,1484385.4644698,3061876.67268408,4574427.91755311,3962851.59382865,6262020.72917817,9225333.09910232,6707264.41074046
"68",67,0.0030787432817014,0.00580492421302673,26.4903754959923,906373.41150159,1368283.64518457,1370273.93953486,2956806.68635072,4418598.62667643,3842798.05054229,6442579.89906894,9495122.72233408,6941443.51954736
"69",68,0.0016156680596052,0.00303313862519762,17.5291207734869,836688.113486423,1263085.00201412,1264930.85944105,2852224.55412845,4263343.51308794,3721223.78020718,6616847.33076945,9755576.4818648,7168369.831231
"70",69,0.000865447952848147,0.00161754487968777,11.745185733069,772360.475105149,1165974.4135904,1167683.89607965,2748534.79319149,4109282.69742608,3598871.48386435,6784864.7308379,10006747.887366,7387974.87487027
"71",70,0.000473160266047654,0.000880378221991266,7.96919639512855,712978.580248037,1076330.04135948,1077911.71064734,2646085.07846143,3956949.93946688,3476390.429958,6946696.34081736,10248725.0182933,7600231.89019826
"72",71,0.000264011053263698,0.000489002793108453,5.47553802065879,658162.18225072,993577.855660582,995040.310069468,2545172.11187953,3806801.53056523,3354345.71080132,7102425.70560573,10481625.6132852,7805150.5035912
"73",72,0.000150315244722286,0.000277148628118813,3.80957963756633,607560.26911806,917187.960170984,918539.572373753,2446046.95316436,3659224.37128008,3233226.68340615,7252152.77756726,10705592.6682718,8002771.93464046
"74",73,8.73071913190604e-05,0.000160243898796389,2.68365188162604,560848.815898348,846671.198854891,847919.973354863,2348919.85850375,3514543.30440985,3113454.65672602,7395991.32551058,10920790.496575,8193164.68626724
"75",74,5.17184759450185e-05,9.44949988914418e-05,1.91389582433011,517728.709841506,781576.023740786,782729.525761673,2253964.66980554,3373027.76788585,2995389.88536932,7534066.62030123,11127401.2082789,8376420.67497318
"76",75,3.12353739597319e-05,5.68143405358275e-05,1.38160213634244,477923.835068042,721485.603495176,722550.930354187,2161322.79357023,3234897.82659051,2879337.92670446,7666513.37133048,11325621.5698575,8552651.76133922
"77",76,1.92256691499581e-05,3.48145781594332e-05,1.00933997875158,441179.304490743,666015.154290306,666998.931831085,2071106.80518192,3100329.63722939,2765555.41463493,7793473.8903081,11515660.2084455,8721986.64419401
"78",77,1.20556294010926e-05,2.17353097596552e-05,0.746084792496565,407259.827669887,614809.475879318,615717.869422803,1983403.71141664,2969460.39585731,2654255.29953753,7915096.46090141,11697735.1282416,8884568.08495488
"79",78,7.69839590223033e-06,1.38199363619853e-05,0.557869723424495,375948.204152974,567540.677105367,568379.410513062,1898277.90120918,2842392.81348946,2545611.60011283,8031533.89463014,11872071.5093914,9040550.43150439
"80",79,5.00369691888955e-06,8.94454623629318e-06,0.421853387367253,347043.932651014,523906.076280159,524680.45523463,1815773.81219588,2719199.16141443,2439763.709315,8142942.25514809,12038899.7622965,9190097.41359699
"81",80,3.30876819238994e-06,5.89022459328834e-06,0.322521496807349,320361.927146303,483626.262988765,484341.200123263,1735918.33822401,2599924.92430897,2336820.29313327,8249479.73462637,12198453.8126964,9333380.18422197
"82",81,2.22524752931726e-06,3.94539757932523e-06,0.249231782608197,295731.331709946,446443.308909023,447103.349357372,1658723.00089087,2484592.0960385,2236862.81783557,8351305.66739695,12350969.5950485,9470575.58357527
"83",82,1.520985383885e-06,2.68606720027763e-06,0.194612837161834,272994.42644111,412119.11619051,412728.462706815,1584185.90621429,2373202.15006213,2139948.7383348,8448579.66734307,12496683.7337447,9601864.60434555
"84",83,1.05628114416978e-06,1.85825351570975e-06,0.153509602016463,252005.617520875,380433.892814963,380996.429972633,1512293.50574878,2265738.71365928,2046114.37762912,8541460.87672928,12635832.3935239,9727431.03888864
"85",84,7.44873727937309e-07,1.30551638395077e-06,0.122283131520115,232630.504915318,351184.745177888,351704.062379182,1443022.1798048,2162169.97269016,1955377.52474239,8630107.31527913,12768650.2821306,9847460.29059529
"86",85,5.33076723003669e-07,9.30901143999788e-07,0.0983409045754225,214745.021756094,324184.378876273,324663.792042986,1376339.65892858,2062450.83133476,1867739.77629491,8714675.31931479,12895369.789788,9962138.3333212
"87",86,3.87016980611516e-07,6.73447791679063e-07,0.0798192710709539,198234.639886418,299259.899381225,299702.471282082,1312206.29841076,1966524.8491546,1783188.64470366,8795319.06170243,13016220.2514635,10071650.804195
"88",87,2.84931802345825e-07,4.94123898728906e-07,0.065366577597151,182993.636488822,276251.704921156,276660.264144273,1250576.21931074,1874325.97588439,1701699.45404021,8872190.14420014,13131427.319194,10176182.2164489
"89",88,2.12595020635048e-07,3.67460930957725e-07,0.0539943811890119,168924.417116815,255012.464513684,255389.623122933,1191398.32827511,1785780.10253336,1623237.04271228,8945437.25460786,13241212.4329526,10275915.2801704
"90",89,1.60687061198695e-07,2.76856343425253e-07,0.0449735386231221,155936.890732314,235406.174506741,235754.344440316,1134617.22758204,1700806.44609631,1547757.29083276,9015205.88168547,13345792.3793967,10371030.3197534
"91",90,1.229669871074e-07,2.11211637989041e-07,0.0377618754823541,143947.892827743,217307.287709466,217628.695986971,1080174.02547785,1619318.78310883,1475208.48802585,9081638.08169428,13445378.9291815,10461704.7782253
"92",91,9.52398545664236e-08,1.63102346890887e-07,0.0319529745471119,132880.652850393,200599.909402896,200896.612212311,1028007.05641892,1541226.54659727,1405532.55672663,9144872.29073058,13540178.5439997,10548112.7991081
"93",92,7.46121926207804e-08,1.27407376059291e-07,0.0272400299842677,122664.302726425,185177.055395675,185450.951132108,978052.519259603,1466435.79859373,1338666.14358267,9205043.17801389,13630392.1460105,10630424.8780452
"94",93,5.91082568666481e-08,1.00654249222414e-07,0.0233894769158145,113233.422927718,170939.966755391,171192.808082452,930245.042228791,1394850.09160284,1274541.59283828,9262281.53484342,13716214.9416417,10708807.5756898
"95",94,4.73263397165711e-08,8.03767012442228e-08,0.0202223159310061,104527.623627823,157797.477511267,158030.882513121,884518.180665081,1326371.22805832,1213087.81109253,9316714.19570704,13797836.2944303,10783423.286172
"96",95,3.82813806018401e-08,6.48480460383519e-08,0.0176003956287917,96491.1579887205,145665.430862322,145880.893351445,840804.85470359,1260899.92866046,1154231.03474744,9368463.98730764,13875439.6404772,10854430.0543007
"97",96,3.1271689350242e-08,5.28436539804291e-08,0.0154163422954034,89072.5651922268,134466.14028878,134665.039330911,799037.732599777,1198336.41820326,1097895.50910901,9417649.70220795,13949202.4415079,10921981.4361437
