time,S1,S2,S3,E1,E2,E3,I1,I2,I3,R1,R2,R3,run
117,27.163302122321483,37.99960828611954,3469.8369712082126,40062.389254175956,62284.08286146401,115137.65810025232,437372.45432613225,667370.1763595338,817434.4045215148,9828297.993117582,14552312.741170729,11218500.10040703,15
118,25.120742801406934,35.011346360358296,3271.603974733071,36984.207672283505,57498.324290670724,106475.82661937896,414890.3088539954,633151.6204274833,778426.8684894764,9853860.362730933,14591320.043935498,11266367.700916417,15
119,23.32446374707445,32.3918010561467,3093.644785022168,34142.45150008922,53080.15835298546,98460.481501014,393487.80193670135,600568.8007217114,741044.053952291,9878106.422099477,14628323.649124261,11311943.819761677,15
120,21.73894147921359,30.086683590389296,2933.4748189758534,31518.97758620185,49001.375292664525,91044.30385621631,373119.69733796385,569553.8812617459,705239.664933991,9901099.586134369,14663419.656762013,11355324.556390822,15
121,20.33453405298095,28.050854951177705,2788.9617741511693,29097.032046400032,45235.92544205693,84183.2746754104,353742.0395946978,540040.8719218645,670966.5580558302,9922900.593824862,14696700.151781142,11396603.205494612,15
122,19.08639743424763,26.24661348966452,2658.269714797193,26861.144491448165,41759.75478922174,77836.47479492103,335312.1831033408,511965.6821324921,638177.0402248725,9943567.586007789,14728253.316464812,11435870.215265414,15
123,17.973619672550136,24.642331589103804,2539.8128711402173,24797.030178208715,38550.65285292287,71965.89091394396,317788.8116131329,485266.15917389444,606823.1336916274,9963156.184588999,14758163.545641609,11473213.162523294,15
124,16.97852566994757,23.211364763402724,2432.21733065175,22891.499520002268,35588.11199207937,66536.22895131614,301131.9492787259,459882.1128817842,576856.8108920702,9981719.572675616,14786511.563761389,11508716.742825966,15
125,16.086116350773437,21.93117463349105,2334.2891667517147,21132.374425211983,32853.197326869806,61514.73557525536,285302.9643139357,435755.3284111707,548230.2014342103,9999308.575144513,14813374.543087343,11542462.773823788,15
126,15.283614250890658,20.782620687999348,2244.987836681312,19508.410965945804,30328.426498779634,56871.02839633018,270264.5661879634,412829.5685472798,520895.7735125216,10015971.73923185,14838826.22233327,11574530.210254474,15
127,14.560093724796497,19.749385798516624,2163.403906365418,18009.22791102311,27997.658546804083,52576.935063194396,255980.7972131918,391050.5669075682,494806.491919942,10031755.41478207,14862937.025159845,11604995.169110507,15
