time,regions,sf6
1985,JPK,0.338852948991523
1985,ANZ,0.018782240926898047
1985,EEU,0.0
1985,FSU,0.04443759493911776
1985,MDE,0.2988461838577349
1985,CAM,0.02458644165189097
1985,LAM,0.07085247143490524
1985,SAS,0.2069472560875496
1985,SEA,0.15732701228403456
1985,CHI,0.006092654824335578
1985,MAF,0.039568397064559696
1985,SSA,0.05052091319499959
1985,SIS,0.0
1986,USA,1.4838267648808123
1986,CAN,0.18669877097851417
1986,WEU,0.4373656238547844
1986,JPK,0.404634703707125
1986,ANZ,0.021094556644832688
1986,EEU,0.0
1986,FSU,0.052992298661257035
1986,MDE,0.3092519651579723
1986,CAM,0.02557433139680196
1986,LAM,0.07262887860695019
1986,SAS,0.21715480678080354
1986,SEA,0.16733211644346838
1986,CHI,0.014168708262102925
1986,MAF,0.04185901621676095
1986,SSA,0.052417773166491946
1986,SIS,0.0
1987,USA,1.5728518782277496
1987,CAN,0.19601162482822218
1987,WEU,0.5189670156227151
1987,JPK,0.4780871090651556
1987,ANZ,0.023556324132710797
1987,EEU,0.0
1987,FSU,0.06232502700868841
1987,MDE,0.3198055518035675
1987,CAM,0.02657949747945189
1987,LAM,0.07439179356050978
1987,SAS,0.2280159990398863
1987,SEA,0.17816523145811242
1987,CHI,0.023966571666411387
1987,MAF,0.04427842185198527
1987,SSA,0.05434375431449678
1987,SIS,0.0
1988,USA,1.6665498349106391
1988,CAN,0.20573402801522087
1988,WEU,0.6077734077666287
1988,JPK,0.5599488069598395
1988,ANZ,0.026173114917238824
1988,EEU,0.0
1988,FSU,0.07248516199468241
1988,MDE,0.33051155583149266
1988,CAM,0.027602062124147644
1988,LAM,0.07614123897080503
1988,SAS,0.23960456510863146
1988,SEA,0.18991806987843143
1988,CHI,0.035798356868165855
1988,MAF,0.04683539583359048
1988,SSA,0.056299209545720715
1988,SIS,0.0
1989,USA,1.7651767139737713
1989,CAN,0.2158891232855573
1989,WEU,0.7042285725702022
1989,JPK,0.6510272672690718
1989,ANZ,0.028950694898092825
1989,EEU,0.0002609688836005766
1989,FSU,0.08352507575260058
1989,MDE,0.3413747231530534
1989,CAM,0.028642148338819857
1989,LAM,0.07787723748549269
1989,SAS,0.25200232398250577
1989,SEA,0.20269221594193798
1989,CHI,0.05003181599380476
