date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-04-26,US,942921,148376462,1115759,95888088,2396183,250631450,,,677568,47968185,1300784,121674501,,,430922,39855028,798607,100830533,,,7196,8021694,7406,8087269,,,,,,
2021-04-27,US,1116353,149492815,859366,96747454,2902878,253534328,,,515815,48484000,995178,122669679,,,333429,40188457,633370,101463903,,,10037,8031731,10381,8097650,,,,,,
2021-04-28,US,1153154,150645969,1296967,98044421,3096802,256631130,,,758768,49242768,1310349,123980028,,,511745,40700202,893032,102356935,,,25929,8057660,26742,8124392,,,,,,
2021-04-29,US,1124788,151770757,1624524,99668945,3057046,259688176,,,909661,50152429,1560144,125540172,,,673282,41373484,1117253,103474188,,,41016,8098676,42018,8166410,,,,,,
2021-04-30,US,1126158,152896915,1738373,101407318,2920253,262608429,,,982378,51134807,1593227,127133399,,,691662,42065146,1139705,104613893,,,63818,8162494,64729,8231139,,,,,,
2021-05-01,US,712900,153609815,2015237,103422555,1862214,264470643,,,1111450,52246257,1880258,129013657,,,816968,42882114,1334047,105947940,,,86129,8248623,87407,8318546,,,,,,
2021-05-02,US,326629,153936444,0,103422555,880976,265351619,,,0,52246257,0,129013657,,,0,42882114,0,105947940,,,0,8248623,0,8318546,,,,,,
2021-05-03,US,644429,154580873,2100965,105523520,1968150,267319769,,,1280666,53526923,2016880,131030537,,,729798,43611912,1207857,107155797,,,90122,8338745,90959,8409505,,,,,,
2021-05-04,US,820637,155401510,645068,106168588,2506026,269825795,,,424426,53951349,626947,131657484,,,181423,43793335,322024,107477821,,,39116,8377861,39562,8449067,,,,,,
2021-05-05,US,820525,156222035,1177945,107346533,2558901,272384696,,,693229,54644578,1063669,132721153,,,417669,44211004,665005,108142826,,,66460,8444321,67370,8516437,,,,,,
